NOME	REGIME	ANO	NÚMERO	CURSO
Isabel Ramos	normal	2	5026	EE
Nathan Cavalcanti	normal	3	4293	MKT
Daniela Castro	normal	1	4497	EE
Joao Lucas da Mota	normal	2	5959	GI
Marina Castro	normal	2	4426	EI
Camila Rodrigues	normal	3	4183	EI
Otavio Duarte	normal	1	4123	EC
Nathan Cardoso	normal	2	5606	EC
Gustavo Teixeira	normal	2	3629	GE
Levi Cardoso	normal	1	3767	GI
Thales Souza	normal	1	4258	CONT
Davi Luiz Carvalho	normal	3	5035	GI
Enrico Santos	normal	1	4368	TDMO
Sophie Fernandes	normal	1	4147	GE
Pedro Henrique da Luz	normal	2	3174	EC
Diego Ribeiro	normal	3	5208	EE
Joao Vitor Nascimento	normal	3	4087	EM
Ana Clara Vieira	normal	1	5306	CONT
Daniel Dias	normal	1	5161	TDM
Larissa Silva	normal	2	3322	EE
Sophia Costa	normal	3	4082	GE
Brenda Campos	normal	2	5025	TUR
Murilo Santos	normal	2	5951	EE
Luiz Felipe Santos	normal	2	4466	EA
Camila Pires	normal	1	4495	EE
Caua Rodrigues	normal	3	3938	TDM
Ana Luiza Lima	normal	3	4014	EI
Julia Jesus	normal	3	3807	TUR
Leticia Pinto	normal	1	4443	GE
Luiza Santos	normal	1	3468	EA
Sofia Goncalves	normal	2	4475	EA
Davi Lucca Porto	normal	3	4563	MKT
Sarah Ferreira	normal	2	3685	GI
Anthony Ramos	normal	1	5214	EA
Caroline Novaes	normal	3	3717	GI
Henrique Ribeiro	normal	3	5279	EI
Ana Laura Aragao	normal	3	4046	TDMO
Leonardo Nascimento	normal	1	4299	GI
Maria Julia Pereira	normal	1	4723	CONT
Clarice Campos	normal	1	5731	EI
Gabriel Barbosa	normal	1	5045	TDMO
Maria Vitoria Martins	normal	3	5097	EM
Pedro Caldeira	normal	3	3068	MKT
Julia Costela	normal	2	3995	GE
Alicia Teixeira	normal	1	3467	EC
Larissa Moraes	normal	1	3147	TUR
Joana Silveira	normal	3	4506	GI
Camila Cunha	normal	3	5557	EA
Valentina da Luz	normal	1	3863	EE
Maria Luiza Rocha	normal	1	5026	EI
Melissa Rodrigues	normal	1	5523	EI
Maria Julia Oliveira	normal	1	4623	TDMO
Maria Luiza Dias	normal	3	3188	EA
Ana Beatriz Barros	normal	1	5268	EC
Otavio Pires	normal	3	3513	EI
Isis Lopes	normal	3	3672	EI
Lucca Caldeira	normal	3	3962	GE
Carlos Eduardo Porto	normal	2	5353	EA
Ian da Paz	normal	2	4215	TDM
Joao Miguel Porto	normal	2	4551	GE
Gabriel Cardoso	normal	2	3925	TUR
Larissa Ramos	normal	1	4323	EA
Guilherme Novaes	normal	3	5686	EA
Clara Carvalho	normal	2	3592	EE
Lucas Gabriel Aragao	normal	1	4347	CONT
Rafael Pereira	normal	3	5895	EI
Camila Costa	normal	1	5961	TUR
Evelyn da Costa	normal	1	4278	EE
Pietro Goncalves	normal	2	3693	GI
Ana Beatriz Moura	normal	2	5602	EM
Pedro Lucas Carvalho	normal	1	5739	TUR
Luiz Otavio Porto	normal	2	4289	GI
Gabrielly Campos	normal	1	3314	GI
Bruna Sales	normal	3	4468	EM
Isis Costela	normal	1	3627	EE
Miguel Rodrigues	normal	1	3332	TDM
Rebeca Silveira	normal	1	3600	MKT
Eduarda Nascimento	normal	2	3367	EA
Anthony Nogueira	normal	2	4445	GE
Luiz Gustavo Rodrigues	normal	2	4853	TDM
Gabriel Costela	normal	1	4118	EM
Davi Lucca Duarte	normal	2	3335	MKT
Rafaela Pires	normal	3	3721	EI
Luna Martins	normal	1	4389	EC
Maria Alice Barbosa	normal	1	5006	GI
Samuel Barros	normal	2	4447	EA
Melissa Nunes	normal	2	4147	GI
Augusto Oliveira	normal	2	5119	CONT
Marcelo Nunes	normal	2	4312	EA
Theo da Mota	normal	1	4964	EE
Larissa Dias	normal	3	3057	TDMO
Caua Lima	normal	1	4839	GI
Mariane Martins	normal	3	4314	TDMO
Stephany Almeida	normal	1	3311	EM
Ian Porto	normal	1	3598	EI
Joao Miguel Vieira	normal	3	4021	EA
Igor da Mata	normal	2	5534	EM
Rebeca Rocha	normal	2	3272	TDM
Alicia Dias	normal	1	4023	CONT
Lavinia Duarte	normal	3	4506	EI
Luiz Felipe Dias	normal	3	4205	TDM
Alana Correia	normal	2	4817	EE
Davi Lucca Barros	normal	1	3140	EI
Maria Vitoria Sales	normal	2	3763	CONT
Pedro Henrique Azevedo	normal	1	4501	EA
Daniela Santos	normal	3	3061	GE
Gabrielly Araujo	normal	1	3289	CONT
Fernanda Nascimento	normal	1	5521	GE
Marcos Vinicius Martins	normal	2	5825	MKT
Milena Sales	normal	3	5998	EC
Joao Guilherme da Rosa	normal	1	3311	EM
Joao Miguel da Luz	normal	3	3354	EE
Yasmin Viana	normal	2	5098	GE
Gabriel Pires	normal	3	5229	TDMO
Leandro Silva	normal	1	4558	EI
Juan Ferreira	normal	3	4070	MKT
Giovanna Pinto	normal	2	5921	MKT
Marcela Teixeira	normal	2	5881	TDM
Joao Felipe Lopes	normal	2	3442	GI
Carolina Cunha	normal	1	4474	CONT
Milena Fogaca	normal	3	4657	EI
Otavio Martins	normal	3	4904	CONT
Heitor Cavalcanti	normal	2	5273	GI
Lorena Pinto	normal	2	3740	TUR
Julia Moraes	normal	3	4318	GI
Isabella Oliveira	normal	1	5946	EI
Rafael Silveira	normal	2	3727	MKT
Luiz Otavio Correia	normal	2	3631	EM
Yago Dias	normal	1	5252	MKT
Luiz Miguel Nunes	normal	3	4748	EA
Maria Vitoria da Rocha	normal	2	3013	GE
Joao Lucas Duarte	normal	3	3858	EI
Nicole Martins	normal	1	3848	EM
Leonardo da Rocha	normal	2	4494	EA
Isadora Rocha	normal	1	3143	EA
Theo Correia	normal	2	4597	GI
Gustavo Henrique Martins	normal	1	5783	TDMO
Caue Costela	normal	2	5386	TDMO
Thales Campos	normal	2	4120	GE
Vitor Gabriel Farias	normal	1	5866	EA
Bianca Cardoso	normal	1	4956	EE
Alexia Moura	normal	3	3035	TUR
Augusto Caldeira	normal	1	4160	TDMO
Andre Viana	normal	1	5301	EM
Isaac Teixeira	normal	3	4463	EM
Yasmin Melo	normal	3	4406	MKT
Maria Clara Farias	normal	2	4557	EM
Carolina Porto	normal	1	3413	EC
Carlos Eduardo Ramos	normal	1	4317	EE
Gabriel Costa	normal	3	3048	EC
Larissa Silveira	normal	1	3666	MKT
Calebe Silveira	normal	3	5794	TDMO
Luiz Henrique Cavalcanti	normal	3	3435	TDMO
Livia Pereira	normal	3	5013	TDM
Antonio Caldeira	normal	2	5976	GI
Ana Sophia Ramos	normal	1	4558	MKT
Eduardo Rodrigues	normal	3	4917	MKT
Leonardo Lima	normal	2	4734	MKT
Olivia Rocha	normal	1	5538	EA
Luiz Felipe das Neves	normal	2	4903	EC
Diogo Viana	normal	2	5528	EM
Marcos Vinicius Almeida	normal	2	4839	MKT
Lorenzo Carvalho	normal	3	4776	TUR
Esther Nunes	normal	2	5025	TDMO
Lucas Barros	normal	1	4996	TUR
Maria Cecilia Lopes	normal	2	5676	GE
Matheus Pereira	normal	3	4755	GE
Luiz Felipe Barros	normal	3	4794	EI
Amanda Pereira	normal	3	3978	TDMO
Luigi Azevedo	normal	3	5817	EM
Heloisa Pereira	normal	3	4713	TDMO
Catarina da Rocha	normal	1	5429	EI
Ana Vitoria Sales	normal	3	4227	TUR
Maysa Nunes	normal	2	5901	MKT
Emanuella da Paz	normal	2	4420	GI
Matheus Viana	normal	3	3530	TDMO
Yasmin Novaes	normal	1	4208	TDM
Caua Nogueira	normal	3	3265	EA
Esther Teixeira	normal	1	3723	TDM
Nathan Novaes	normal	3	4784	GI
Ana Beatriz Dias	normal	1	4812	EM
Carlos Eduardo Oliveira	normal	1	5987	GI
Luiz Felipe Nunes	normal	2	4505	EC
Davi da Mata	normal	1	5042	GI
Ian Lopes	normal	3	5789	EI
Benjamin Novaes	normal	1	3746	GE
Benicio Farias	normal	3	4566	EI
Catarina Fernandes	normal	1	3240	GE
Leandro da Mata	normal	1	5638	TDMO
Maria Fernanda Pires	normal	2	3022	TDMO
Maria Alice Cardoso	normal	2	3534	TDM
Davi Lucca Fernandes	normal	2	5923	GI
Lucca Moura	normal	2	3834	GI
Renan Porto	normal	1	5212	EE
Laura Novaes	normal	1	3891	EM
Daniela Lima	normal	1	5276	GE
Larissa Costela	normal	2	4196	CONT
Yasmin Fogaca	normal	3	3426	MKT
Joao Guilherme Barros	normal	1	5383	EA
Maria Eduarda Almeida	normal	1	4569	EA
Marcos Vinicius Rocha	normal	1	5266	GE
Sophie Costa	normal	2	3827	TDMO
Gustavo Pires	normal	2	3019	EI
Joao Mendes	normal	2	3777	EI
Rafaela Alves	normal	3	4356	TDMO
Valentina Mendes	normal	3	3414	EC
Livia Vieira	normal	3	3235	EE
Emanuella Silveira	normal	2	3461	EC
Vinicius Rocha	normal	1	3742	EM
Bianca da Paz	normal	3	3320	CONT
Nina Fogaca	normal	1	4942	EI
Maysa Dias	normal	3	5239	GI
Maria Sophia Carvalho	normal	1	3297	EE
Luna Farias	normal	2	5112	EM
Ana Clara Castro	normal	2	3973	EI
Renan Castro	normal	1	3420	EA
Maria Luiza Goncalves	normal	3	4433	CONT
Joao Gabriel Rezende	normal	1	4761	TUR
Noah Mendes	normal	3	4254	TDMO
Sabrina Lima	normal	3	3895	TDMO
Joao Lucas Ramos	normal	1	3727	TDMO
Antonio Castro	normal	1	3271	GI
Arthur Mendes	normal	3	5630	GI
Pedro Jesus	trabalhador-estudante	2	3037	EE
Clara Cavalcanti	trabalhador-estudante	3	4874	TUR
Sofia Lima	trabalhador-estudante	2	3647	GE
Heloisa Barbosa	trabalhador-estudante	1	3354	MKT
Rodrigo Barbosa	trabalhador-estudante	1	3898	EI
Vitoria da Conceicao	trabalhador-estudante	3	4338	EM
Marina Oliveira	trabalhador-estudante	1	3940	TDM
Pietro da Paz	trabalhador-estudante	1	5207	EE
Juliana Rodrigues	trabalhador-estudante	1	5472	EM
Leonardo Ferreira	trabalhador-estudante	1	4004	EI
Raul Ferreira	trabalhador-estudante	3	4249	GI
Caue Cunha	trabalhador-estudante	3	4014	TUR
Amanda Silveira	trabalhador-estudante	3	4648	GE
Leticia da Costa	trabalhador-estudante	3	3751	EE
Heloisa da Cruz	trabalhador-estudante	1	4090	EC
Diego Correia	trabalhador-estudante	3	3218	EI
Ana Mendes	trabalhador-estudante	1	5148	EA
Rodrigo Barros	trabalhador-estudante	1	5828	EI
Renan Melo	trabalhador-estudante	1	5442	EC
Vitoria Castro	trabalhador-estudante	2	3241	TDM
Manuela Lima	trabalhador-estudante	3	5220	GI
Stella da Rosa	trabalhador-estudante	1	5787	GI
Luiza das Neves	trabalhador-estudante	3	4414	TUR
Ana Julia Melo	trabalhador-estudante	3	4027	EC
Carlos Eduardo Cardoso	trabalhador-estudante	1	3025	CONT
Eduardo Martins	trabalhador-estudante	2	3845	EM
Marcela Carvalho	trabalhador-estudante	3	5821	EE
Leandro Rocha	trabalhador-estudante	3	3333	GI
Maria Fernanda Fogaca	trabalhador-estudante	3	4724	TDMO
Thales Melo	trabalhador-estudante	2	4047	TUR
Carolina Barbosa	trabalhador-estudante	2	5449	EA
Francisco Rodrigues	trabalhador-estudante	3	3838	EM
Brenda Nunes	trabalhador-estudante	1	3047	EA
Lucas Lopes	trabalhador-estudante	2	5335	GE
Antonio Novaes	trabalhador-estudante	3	4214	GI
Samuel Fogaca	trabalhador-estudante	3	4761	TDM
Maria da Mota	normal	3	5723	EC
Pedro Henrique da Mota	normal	3	5078	TDM
Joao Miguel Lopes	normal	1	3810	GE
Matheus Correia	normal	1	5797	CONT
Stephany Melo	normal	1	3227	TDMO
Amanda Monteiro	normal	3	4376	EE
Heloisa da Costa	normal	1	5901	TDM
Davi Sales	normal	3	4079	TDM
Joao Miguel Nascimento	normal	3	4297	GE
Maria Clara Porto	normal	3	5676	EA
Barbara Almeida	normal	1	5880	EA
Eduardo Ribeiro	normal	1	5555	EE
Lais Costa	normal	2	5087	TDMO
Rebeca Freitas	normal	2	3555	EE
Bruna Caldeira	normal	3	4107	GE
Marcelo Campos	normal	1	4582	CONT
Mariana da Mata	normal	2	4554	GI
Anthony Cavalcanti	normal	1	4486	CONT
Diego Alves	normal	1	3563	TUR
Vinicius Nunes	Erasmus	3	4783	CONT
Alexandre da Cruz	Erasmus	3	5776	TDM
Gustavo Henrique Porto	Erasmus	1	5547	GE
Luigi Rezende	normal	3	3527	MKT
Leticia Cardoso	normal	3	3428	CONT
Guilherme Correia	normal	1	3051	TUR
Eduarda Moraes	normal	3	3616	EM
Evelyn Vieira	normal	2	4154	EC
Emilly Moreira	normal	1	5879	EM
Joao Gabriel da Costa	normal	1	3860	MKT
Lucca Moura	normal	2	5844	GE
Joao da Mota	normal	2	3653	EE
Raquel Santos	normal	3	3723	MKT
Lavinia Alves	normal	3	3913	CONT
Cecilia Rodrigues	normal	1	4835	TDM
Cecilia Ramos	normal	2	4633	EE
Luiz Otavio Correia	normal	3	5778	EA
Luana Azevedo	normal	1	4481	TDMO
Kevin Aragao	normal	1	4626	CONT
Valentina Teixeira	normal	2	3640	TUR
Lorenzo Fogaca	normal	1	3229	EE
Joao da Luz	normal	3	5645	CONT
Maria Sophia Pereira	normal	3	3625	GI
Eloah Lima	normal	2	3852	EI
Igor da Conceicao	normal	2	4324	EE
Laura Ramos	normal	3	4884	EA
Joao Lucas Lima	Normal	3	4632	EM
Theo Pinto	gewg	2	5177	GE
Maria Cecilia da Costa	erasmus	2	5665	TDMO
Rafaela Rodrigues	ATLETA	3	3286	EA
Vitor Barros	ATLETA	2	4874	EC
Breno Dias	NORAL	2	4748	GI
Calebe Jesus	NORMAL	1	4565	EI
Fernanda Barros	normal	3	3814	EI
Maria Alice das Neves	normal	3	4556	EC
Isadora Melo	normal	1	4260	EA
Joao Miguel Peixoto	normal	2	4096	EC
Stephany Castro	normal	3	4284	EI
Benjamin da Cruz	normal	2	5993	GE
Leandro Nunes	normal	2	5123	EM
Alice Souza	normal	3	3957	EI
Alicia Silveira	normal	1	5447	MKT
Enzo Gabriel Fernandes	normal	1	5340	EE
Emanuel Melo	normal	2	3251	EA
Joana Cunha	normal	1	5694	MKT
Laura Nogueira	normal	3	5576	EA
Lucca da Cruz	normal	1	4274	MKT
Leticia Pires	normal	1	3343	TUR
Pedro Lucas Gomes	normal	3	3941	CONT
Melissa da Paz	Erasmus	1	5597	GI
Alexia Correia	Erasmus	1	3111	GE
Samuel da Rosa	Erasmus	2	4324	TDM
Marcos Vinicius Mendes	normal	1	4758	CONT
Emanuelly Costa	normal	3	4798	TDM
Isabelly Moura	normal	2	4403	EC
Evelyn Campos	normal	1	3810	GE
Luiz Fernando Cardoso	normal	1	4111	TDMO
Sophia Freitas	normal	1	4235	TDM
Kevin Ribeiro	normal	1	3144	TDM
Clarice Moreira	normal	3	5984	MKT
Alice Costela	normal	2	5710	EC
Nathan Barbosa	normal	1	3679	CONT
Esther da Rosa	normal	3	5952	EC
Isaac Nogueira	normal	1	4088	EE
Elisa Monteiro	normal	3	5784	TUR
Maria Alice Ferreira	normal	3	3639	EI
Caue Costa	normal	2	5267	GI
Enzo da Costa	normal	3	5500	TDM
Rafael Martins	normal	3	5057	TDMO
Natalia Fernandes	normal	1	5923	EC
Helena Pinto	normal	2	4503	TDMO
Juliana da Paz	normal	3	3689	EI
Juliana Fogaca	normal	2	3788	EI
Stephany Goncalves	normal	1	3316	GI
Nicolas Oliveira	normal	1	3120	TDM
Andre Pinto	normal	2	5389	EE
Beatriz Peixoto	normal	3	3722	EA
Livia Aragao	normal	1	5513	GI
Emilly da Cruz	normal	1	5998	EA
Evelyn Aragao	normal	1	5974	EE
Daniela Vieira	normal	3	3162	CONT
Emanuelly da Costa	normal	3	3589	MKT
Alexia Fernandes	normal	2	4942	GI
Ana Beatriz Silveira	normal	3	5116	CONT
Ana Costela	normal	1	5340	EA
Yasmin Nogueira	normal	3	5780	CONT
Ana Julia Vieira	normal	1	4476	EM
Bruna Correia	normal	2	3955	EE
Murilo Ribeiro	normal	1	4691	EE
Felipe Barbosa	normal	2	4284	EA
Daniel Pinto	normal	1	3155	EI
Thiago Mendes	normal	3	5839	TDMO
Paulo Fogaca	normal	2	3479	GI
Ana Julia Gomes	normal	2	3460	EM
Lara Barbosa	normal	3	3527	EA
Arthur Martins	normal	2	4514	EM
Fernanda Pires	normal	2	4031	GI
Ana Luiza Moura	normal	2	3400	EC
Juliana Cavalcanti	normal	3	5421	TDM
Melissa Silveira	normal	1	5288	EE
Maria Vitoria Oliveira	normal	3	3672	EE
Gustavo Henrique Correia	normal	1	4578	EC
Evelyn Porto	normal	1	5489	TDM
Barbara Cardoso	normal	3	4770	CONT
Enrico Oliveira	normal	3	5516	EE
Levi das Neves	normal	2	4376	TDMO
Marcela Peixoto	normal	1	5827	TDM
Lucas Gabriel Carvalho	normal	1	5140	TUR
Sabrina Castro	normal	2	4747	MKT
Felipe Pinto	normal	3	4394	MKT
Gustavo Ribeiro	Erasmus	3	5961	GE
Beatriz da Luz	Erasmus	1	3355	MKT
Arthur Souza	Erasmus	2	5474	GI
Anthony Silveira	normal	2	5432	MKT
Caua da Cunha	normal	1	3908	TDMO
Ana da Rocha	normal	2	5962	EC
Heitor da Mota	normal	3	4648	EC
Pietro Moreira	normal	3	3743	EE
Maria Julia Sales	normal	3	3159	EM
Eduarda Caldeira	normal	1	3217	TDM
Maria Vitoria Teixeira	normal	1	4146	TDMO
Nathan Barros	normal	3	3125	MKT
Alana Melo	trabalhador-estudante	2	4679	EM
Vitor Nascimento	trabalhador-estudante	1	4219	CONT
Juliana Sales	trabalhador-estudante	2	3281	EM
Ana Vitoria Farias	trabalhador-estudante	1	3284	TDM
Henrique Duarte	trabalhador-estudante	1	4156	CONT
Lara Moraes	trabalhador-estudante	2	4639	EC
Isabella da Cunha	trabalhador-estudante	1	5377	EE
Luana Melo	trabalhador-estudante	2	4213	TDM
Isabella da Mata	trabalhador-estudante	1	5204	TDM
Giovanna Pires	trabalhador-estudante	3	4895	GI
Amanda Peixoto	trabalhador-estudante	2	3622	EA
Lucas Cardoso	trabalhador-estudante	2	3169	EI
Lorenzo da Cunha	trabalhador-estudante	1	3019	TDMO
Diogo Alves	trabalhador-estudante	1	5679	EE
Joao Vitor Cardoso	trabalhador-estudante	1	3723	MKT
Bryan Nascimento	trabalhador-estudante	2	3097	MKT
Diego Cardoso	trabalhador-estudante	2	4194	MKT
Gustavo Souza	trabalhador-estudante	1	5885	TUR
Ana Livia Teixeira	trabalhador-estudante	2	4655	EE
Evelyn Pinto	trabalhador-estudante	3	5412	EM
Alana Azevedo	trabalhador-estudante	2	5315	EI
Paulo Caldeira	trabalhador-estudante	3	3693	GI
Emanuel Vieira	normal	2	4104	TDMO
Ana Sophia Castro	normal	2	3088	EE
Davi Lucca Rocha	normal	2	3388	EC
Levi Barbosa	normal	3	5794	TDM
Heloisa da Cunha	normal	1	4982	GE
Laura Farias	normal	1	3895	EE
Luana Caldeira	normal	2	3369	EA
Maite Peixoto	normal	3	5436	EE
Leticia da Mata	normal	1	4895	GE
Joao Gabriel da Luz	normal	1	4566	GE
Rafael Teixeira	normal	3	4103	GE
Nicole Duarte	normal	2	4958	GE
Ana Laura Cardoso	normal	1	3810	EE
Stella Porto	normal	3	5147	MKT
Thiago Dias	normal	3	3596	MKT
Enrico Martins	normal	1	3349	CONT
Diego Peixoto	normal	2	3078	EI
Sabrina Ramos	Erasmus	2	3151	EA
Vitor Gabriel Pires	Erasmus	1	4549	CONT
Matheus Correia	Erasmus	2	3952	EI
Luigi Porto	Erasmus	1	4237	GE
Raquel Pinto	normal	1	5643	TDMO
Davi Luiz Silveira	normal	3	5719	EE
Eduardo Moreira	normal	1	4613	EE
Emanuelly Costa	normal	3	5142	GI
Murilo Rodrigues	normal	1	5234	GI
Lucca Viana	normal	1	4780	TDM
Luiz Fernando Aragao	normal	3	3396	TUR
Eloah Peixoto	normal	3	4118	GI
Eloah Santos	normal	1	5611	TDM
Maria Julia Lopes	normal	3	5420	CONT
Lorenzo da Conceicao	normal	2	3946	EC
Alicia Nascimento	normal	1	5068	EA
Alexandre Porto	normal	1	3176	TDMO
Ana Sophia Campos	normal	1	3602	EE
Lucas Silveira	normal	3	3147	TDMO
Anthony Monteiro	normal	1	3653	GE
Gustavo Cavalcanti	normal	3	3127	CONT
Lucas Gabriel Correia	normal	1	4464	TDM
Emanuelly Rezende	normal	3	5748	EC
Eduarda Teixeira	normal	1	3575	EA
Stella Alves	normal	2	5272	GI
Gabriel Barros	dirigente associativo	3	5710	EE
Yago Melo	normal	2	3194	CONT
Maria Luiza da Conceicao	normal	1	3862	EE
Marcos Vinicius Castro	normal	2	5909	EI
Joao Guilherme Porto	Erasmus	2	4223	CONT
Yago Ferreira	normal	1	5264	MKT
Julia Nogueira	normal	1	3943	TDMO
Vitor Gabriel Dias	normal	2	4843	EE
Pedro Lucas Caldeira	normal	1	4862	EE
Gustavo Henrique Barros	normal	3	3056	GE
Lucas Gabriel Cunha	normal	1	4145	EI
Benjamin Costa	normal	2	3549	TDMO
Maite Goncalves	normal	3	3912	MKT
Mariane Martins	normal	3	4663	EA
Maria Luiza Ramos	normal	1	4181	EM
Livia Sales	normal	2	3000	TDMO
Joao Guilherme Barbosa	normal	1	5750	EC
Rebeca Souza	normal	1	5517	CONT
Joao Almeida	normal	2	4318	TDMO
Carlos Eduardo da Luz	normal	3	4330	EE
Joana Santos	normal	2	3270	CONT
Leticia da Cunha	normal	2	3535	EA
Stephany Lima	normal	2	5374	TUR
Sophia Viana	normal	1	5902	EI
Sophie Jesus	normal	1	3961	EA
Maria Fernanda Barros	normal	1	4267	MKT
Joao Pedro Costela	normal	3	3631	EA
Julia Moura	normal	3	3442	MKT
Bianca Fogaca	normal	1	4027	TDM
Luiz Gustavo Campos	normal	2	4140	GI
Luiz Fernando Oliveira	normal	3	3081	EI
Sophia Vieira	normal	3	3211	GE
Helena Jesus	normal	1	4362	TUR
Raquel Araujo	normal	1	4591	TUR
Ana Vitoria Silva	normal	3	5399	EC
Pietra Nascimento	normal	1	5567	GE
Davi Lucca Ribeiro	normal	3	3111	EC
Ana Vitoria Barros	normal	2	3371	EI
Isabel Santos	normal	2	3427	TUR
Olivia Alves	normal	2	5158	GI
Eloah Castro	normal	3	4803	TUR
Danilo Pinto	normal	3	3178	CONT
Nicolas Alves	normal	3	3443	EA
Bernardo Pinto	normal	3	3453	EA
Leonardo Monteiro	normal	1	4356	EE
Joao Felipe Rodrigues	normal	1	5364	EI
Beatriz Costa	normal	1	4886	EE
Ana Livia Moraes	normal	2	5509	TUR
Amanda das Neves	normal	2	3846	CONT
Joao Gabriel Nunes	normal	3	5100	CONT
Luiza Cavalcanti	normal	2	5913	TDM
Luiza Santos	normal	2	4052	MKT
Natalia Vieira	normal	2	4307	EC
Bruno Freitas	normal	2	3337	EM
Francisco Gomes	normal	1	4762	EM
Nina Aragao	normal	1	4460	CONT
Leonardo Goncalves	normal	1	4760	EC
Cecilia das Neves	normal	3	3757	TDMO
Lucas Gabriel da Rosa	normal	2	5486	EM
Vitoria Cavalcanti	normal	2	4505	EE
Maite da Rosa	normal	1	5132	MKT
Diogo Goncalves	normal	1	5054	TDMO
Caroline Pires	normal	3	4295	TDMO
Ryan Santos	normal	3	3219	CONT
Joao Felipe Mendes	normal	1	4974	TUR
Fernando Caldeira	normal	2	3020	TDMO
Antonio da Cruz	normal	2	4846	EE
Caio Correia	normal	3	5401	EI
Yasmin Castro	normal	1	4072	EE
Joao Gabriel da Cruz	normal	3	5966	EM
Nina Carvalho	normal	1	4090	EC
Caue da Rocha	normal	2	4837	EC
Heloisa Ramos	normal	2	5393	EE
Maria Luiza Rezende	normal	3	3149	EI
Felipe Melo	normal	3	4199	MKT
Maysa da Paz	normal	2	4864	EE
Luiz Otavio Farias	normal	1	3675	EA
Sophia das Neves	normal	2	4472	TUR
Giovanna Novaes	normal	2	4722	EI
Laura Nunes	normal	3	5367	TDM
Arthur Fogaca	normal	2	4213	CONT
Davi Lucca da Luz	normal	1	3315	GI
Maria Alice Pires	normal	2	5247	TDM
Leandro Martins	normal	3	5974	TDM
Valentina Castro	dirigente associativo	3	4645	EA
Henrique Oliveira	normal	1	4229	TDMO
Maysa Porto	dirigente associativo	1	4933	EE
Maria Fernanda Araujo	normal	1	3628	EC
Ana Julia Sales	dirigente associativo	3	5312	EA
Clarice Cardoso	normal	2	4920	EC
Yago Almeida	normal	2	3973	GE
Raul Nogueira	normal	1	5663	EC
Bernardo Martins	normal	2	3073	CONT
Evelyn Oliveira	normal	3	3133	EE
Vicente Barros	normal	2	4206	EE
Brenda Viana	normal	3	3835	MKT
Thomas Caldeira	normal	1	4093	TUR
Maria Vitoria Peixoto	normal	1	4288	EI
Vitor Caldeira	normal	3	5836	EM
Noah Pinto	normal	2	4449	TDMO
Murilo Porto	normal	2	4636	MKT
Sofia Viana	normal	1	4847	EI
Bernardo Pereira	normal	2	3099	EM
Daniel Duarte	normal	2	5218	CONT
Caroline Moura	normal	3	3343	EM
Rafael Farias	normal	1	3466	EE
Heitor Moura	normal	2	3402	TDM
Julia Monteiro	normal	1	4374	TDMO
Ana das Neves	normal	1	3139	TDM
Bruno Novaes	normal	1	5428	EM
Joao Guilherme Alves	normal	1	5635	MKT
Isabella da Costa	normal	1	4374	GI
Melissa Melo	dirigente associativo	2	3733	EE
Davi Ribeiro	normal	1	4028	TDM
Melissa Rodrigues	normal	2	4783	CONT
Joao Pedro Rodrigues	normal	3	3098	EA
Murilo Martins	normal	2	4858	EM
Emanuella Cunha	normal	1	4300	MKT
Davi Almeida	normal	3	3590	MKT
Marcos Vinicius da Mota	normal	1	3627	TUR
Maria Sophia Ramos	normal	2	5356	TUR
Antonio da Luz	normal	2	4631	EI
Luiz Gustavo Cunha	normal	3	4085	TDMO
Ana Laura Vieira	normal	2	3530	EM
Daniela Cavalcanti	normal	2	5100	EC
Rebeca Cardoso	normal	1	3091	CONT
Heitor Pereira	normal	3	3694	MKT
Luiz Miguel Rocha	normal	3	3800	TDM
Barbara Fernandes	normal	1	3019	CONT
Kamilly Azevedo	normal	3	5466	EA
Catarina da Mota	normal	2	5574	MKT
Samuel Araujo	normal	3	4893	TUR
Andre da Rosa	normal	2	3901	EA
Gustavo Henrique Nascimento	normal	2	5329	EE
Lorena Moraes	normal	3	4259	EI
Pedro Henrique Oliveira	normal	1	5740	MKT
Amanda Santos	normal	2	3894	TDM
Marina Ramos	normal	3	3728	TDMO
Rafaela Rocha	normal	3	4884	EE
Gabriel Barros	normal	2	5464	MKT
Camila Rezende	normal	1	5809	EE
Lorena da Mata	normal	1	3820	CONT
Ana Melo	normal	3	4496	TUR
Eloah Monteiro	normal	2	3734	EM
Brenda da Luz	normal	3	3087	GI
Joao Miguel Goncalves	dirigente associativo	3	4250	TDM
Maria Sophia Lima	normal	3	3064	CONT
Daniel Nunes	normal	3	5596	GI
Marcelo da Mata	normal	3	5429	EM
Nicole Porto	normal	2	4063	EI
Yago Novaes	normal	1	4742	EM
Thomas Barros	normal	1	4651	CONT
Livia Ferreira	normal	2	5636	EI
Alicia Cavalcanti	normal	1	5372	TDM
Yasmin Rocha	normal	3	5020	EM
Davi Lucas Castro	trabalhador-estudante	3	3796	GI
Thales Carvalho	trabalhador-estudante	3	5624	TUR
Joaquim Cavalcanti	trabalhador-estudante	1	5963	EE
Pedro Porto	trabalhador-estudante	2	5839	EC
Joana Ferreira	trabalhador-estudante	2	4343	EM
Bryan Dias	trabalhador-estudante	2	5668	TUR
Valentina da Rocha	trabalhador-estudante	2	4207	TDM
Bernardo da Mota	trabalhador-estudante	1	4612	CONT
